Å i Åfjord	1302
Ådalsbruk	786
Ågotnes	3624
Åkrehamn	7823
Åkrene	375
Aksdal	730
Ål	2346
Ålesund	54983
Ålgård/Figgjo	11679
Alsvåg	294
Alta	15784
Alternes	220
Alvdal	779
Ålvik	434
Åmli	670
Åmot	673
Åmot/Geithus	6839
Amtmannsnes	438
Åndalsnes	2388
Andebu	2532
Andenes	2487
Andselv	1196
Andslimoen	540
Åneby	1501
Anglavika	377
Årås	625
Årdalstangen	1367
Arendal	44352
Arna	9823
Årnes	4918
Årnset	1208
Årøysund	1558
Årset	818
Ås	10762
Åsen	650
Åsgårdstrand	2944
Åsgreina	1456
Askgrenda	522
Askim	14651
Askje	596
Askjem	294
Askøy	24110
Askvoll	711
Aukra	948
Aulifeltet	2875
Aurdal	647
Aure	599
Aurlandsvangen	804
Aursmoen	3493
Austmarka	410
Austnes	377
Austreim	346
Avaldsnes	2854
Bagn	626
Balestrand	790
Ballangen	827
Ballstad	832
Bamble	10276
Bangsund	877
Barkåker	1803
Batnfjordsøra	379
Båtsfjord	2151
Beisfjord	683
Beitostølen	374
Bekkelaget	6863
Bekkjarvik	575
Berg	616
Bergen	267117
Berger	1110
Bergsida	246
Berkåk	959
Berlevåg	867
Binde	470
Biri	1580
Birkeland	2980
Bismo	611
Bjerka	473
Bjerkvik	1094
Bjertnestunet	415
Bjervamoen	1471
Bjølstad	376
Bjørkelangen	4084
Bjørnevatn	2553
Blæstadgrenda	434
Blaker	480
Blakstad	3306
Bleik	453
Blomvåg	521
Bø	3609
Bø	581
Bodø	42662
Bogen	384
Bokn	295
Bomansvik	233
Borgen	1477
Borkenes	1389
Børsa	1758
Botngård	1339
Botten	253
Bøverbru	741
Brandal	340
Brandbu/Jaren	4888
Brandsøy	693
Brårud	461
Braskereidfoss	246
Bratsberg	371
Brattvåg	2450
Breivikbotn	306
Brekstad	2381
Bremsnes	1038
Brønnøysund	4995
Brønnsletten	231
Bruflat	225
Brumunddal	11127
Brunstad	210
Brusand	436
Bryggja	342
Bryne	12774
Bud	801
Burfjord	386
Buvika/Ilhaugen	3157
Bybrua	1064
Byflaten	256
Byglandsfjord	333
Byrkjelo	333
Byrknes	311
Dale	1220
Dalemarka	220
Dalen	532
Darbu	630
Davanger	347
Degernes	324
Dimmelsvik	453
Disenå	255
Dokka	2958
Dombås	1161
Drag	318
Dragsund	386
Drammen	111036
Drammen	111036
Drøbak	13675
Egersund	11511
Eggkleiva	230
Eidbukta	551
Eide	1433
Eidfjord	545
Eidsvåg	953
Eidsvik	450
Eidsvoll	6530
Eikefjord	416
Eikeland	606
Eikelandsosen	540
Eina	713
Eivindvik	300
Ekeberg (Sande)	450
Ekne	312
Elnesvågen	2625
Eltonåsen	1696
Elverum (tettsted)	15432
Ersfjordbotn	490
Espeland	2485
Etne	1315
Evenskjer	808
Evje	2506
Fåberg	706
Fagerliåsen/Poverudbyen	390
Fagernes	1961
Fagernes	280
Fagerstrand	2885
Fardalen	664
Farestad	221
Farstad	235
Farsund	3422
Farsund	791
Fauske	6262
Fåvang	722
Feda	414
Fedje	378
Ferkingstad	736
Fetsund-Østersund	8966
Fiksdal	236
Fillan	1233
Finnestad	220
Finnsnes	4771
Fiskåbygd	478
Fitjar	1736
Fjell	505
Fjellfoten	1328
Fjellsrud	936
Fjellstad	1059
Fjellstrand	1321
Flåm	257
Flateby	3803
Flekke	292
Flekkefjord	6049
Flesland	354
Flisa	1738
Florø	8942
Foldrøy	370
Folkestad	398
Follafoss	378
Folldal	507
Follebu	1176
Forbregd/Lein	851
Førde	10495
Førdesfjorden	3958
Forland	699
Forsand	501
Forset	584
Fosnavåg	3466
Fossbergom	840
Fossnes	650
Fotlandsvåg	286
Fredrikstad	70161
Frekhaug	3263
Frogner	1555
Frommereid	1080
Fuglevik	495
Furuflaten	248
Fyresdal	354
Gamvik	692
Gangstadhaugen	225
Gata	521
Gaupne	1268
Geilo	2020
Geilolie	552
Geitnes	338
Gibostad	308
Gilja	366
Giske	806
Gjerstad	287
Gjøvik	20315
Gladstad	280
Glomfjord	1081
Glomstein	893
Glosli	773
Gol	2954
Gomnes	373
Gran/Ringstad	1680
Granrudmoen	2154
Granvin	501
Gravdal	1676
Gretteåsen	214
Grimstad	13956
Grinde	932
Grøa	395
Grodås	480
Grong	1065
Grønlund	5208
Grov	402
Grua	1532
Gryllefjord	333
Gullhaug	2472
Gvarv	1109
Hæen	840
Hægeland	364
Hafslo	613
Haga	1066
Haga	701
Haganes	277
Håkvik	735
Hålandsmarka	904
Halden	25916
Hallingby	889
Halmstad	3408
Hamar	28991
Hammarsland	1000
Hammarvika	539
Hammerfest	7912
Hamnås	234
Hamre	211
Hamre	416
Hanøy	892
Hansnes	469
Hardbakke	290
Hareid	3467
Harestua	2426
Harpefoss	321
Harstad	21132
Hasle	694
Hasvik	349
Hattfjelldal	504
Hauge	2119
Hauge	407
Haugesund	45686
Haugland	436
Haugo	785
Haugsbygda	297
Hauknes	2124
Hausvik	586
Havøysund	947
Heggelia	967
Heggenes	276
Hegra	980
Heiås	896
Helgelandsmoen	574
Helgeroa/Nevlunghamn	1962
Hellesylt	255
Hellvik	867
Hem	676
Hemnes	766
Hemnesberget	1252
Hemsedal	944
Henningsvær	517
Hermansverk/Leikanger	2215
Herøysund	534
Herre	1281
Hesseng	1691
Hesthagen	242
Hestnes	460
Hestvika	286
Hjelmelandsvågen	561
Hjelset	971
Hjørungavåg	706
Hjukse	271
Hoelsand	318
Hof	979
Hoffland	934
Hogsetfeltet	912
Høie	230
Hol	297
Høle	409
Hølen	1060
Holevik	299
Høllen	709
Hollingen	1144
Holm	253
Holme	933
Holmestrand	8023
Holmsbu	289
Hommelvik	5800
Hommersåk	6681
Hønefoss	16547
Honningsvåg	2237
Hordnes	344
Horten	20758
Hov	2055
Høvåg	331
Hovden	410
Hovdenakken	318
Hovin	796
Høyanger	1943
Høyjord	381
Høylandet	335
Høysand	737
Hundorp	577
Husnes	2146
Husøy	300
Husøy	393
Hvasser	416
Hvittingfoss	1143
Hyggen	762
Hylla	351
Ibestad	447
Ikornnes	846
Ilseng	986
Ingeberg	916
Innbygda	2461
Inndyr	629
Innfjorden	260
Innvik	429
Ise	718
Isebakke	861
Isfjorden	1343
Jansberg	263
Jelsnes	326
Jessheim	22953
Jevnaker	5077
Jondal	395
Jørpeland	7414
Jørstadmoen	668
Jortveit	676
Judaberg	885
Kabelvåg	2234
Kåfjordbotn	227
Kaland	465
Kalvåg	418
Kampå	959
Kapp	2145
Karasjok	1768
Karlestrand	271
Karlshus	2327
Kårvåg	324
Kaupanger	1057
Kautokeino	1510
Kil	997
Kilsund	667
Kinsarvik	581
Kirkebygda	596
Kirkebygden	1484
Kirkegrenda	329
Kirkenær	1213
Kirkenes	3383
Kirkevoll/Brekkeåsen	939
Kjellmyra	435
Kjøllefjord	845
Kjøpmannsskjær	440
Kjøpsvik	803
Kjørnes	888
Kjosen	370
Klæbu	3424
Kleive	442
Kleppe/Verdalen	9650
Klevjer	483
Kløfta	8215
Klokkarstua	720
Klokkarvik	728
Knappskog	1615
Knarrevik/Straume	12042
Knarvik	6481
Kodal	1059
Kolbu	652
Kolnes	436
Kolvereid	1728
Konglungen	270
Kongsberg	22568
Kongsvinger	12289
Konnerud	10403
Kopervik	11596
Koppang	1057
Korgen	909
Korsvegen	594
Korsvik	18802
Kragerø	5366
Kråkstad	1121
Kristiansand	65506
Kristiansund	18047
Krøderen	570
Krokeide	354
Kroksund	342
Krossberg	397
Krossen	558
Krossen	611
Krossneset	508
Kvål	437
Kvaløysletta	8913
Kvalsund	293
Kvalsund	587
Kvam	759
Kvelde	1103
Kvernaland	7720
Kviteseid	791
Kylstad	398
Kyrkjebø	236
Kyrksæterøra	2484
Lærdalsøyri	1125
Lakselv	2245
Lalm	334
Lampeland	588
Langangen	465
Langevåg	738
Langhaugane	834
Langørjan	588
Langset	378
Larkollen	1507
Larsnes	649
Larvik	26851
Lauvsnes	504
Leikong	339
Leinesfjord	228
Leinstrand	587
Leira	924
Leirsund	1465
Leirvik	14374
Leitebakk	971
Leknes	1128
Leknes	3722
Leksvik	1118
Leland	708
Lena	1264
Lensbygda	481
Ler	684
Lervik	3343
Levanger	10384
Li	436
Lia	272
Liabø	204
Liknes	2399
Liland	311
Lillehammer	21100
Lillesand	8148
Lindås	1395
Lindeberg	1232
Linnestad	314
Løding	3140
Lødingen	1596
Lofthus	586
Løiten Brænderi	895
Løken	1645
Løkenfeltet	631
Løkken	1255
Lonevåg	887
Longum	255
Løpsmarka	2299
Lørenfallet	1110
Løstad	2675
Løten	2801
Lovund	515
Lundamo	1114
Lunde	475
Lundermoen	1455
Lunner	971
Lyefjell	2303
Lyngdal	5271
Lyngseidet	736
Lysøysund	266
Lysthaugen	298
Mære	434
Magnor	902
Malm	1122
Malme	513
Malmheim	333
Måløy	3303
Malvik	7150
Mandal	11122
Manger	1148
Maura	4534
Mebonden	1038
Mehamn	692
Melbu	2245
Meldal	628
Melhus	6957
Melsomvik	2067
Mesnali	362
Midsund	584
Midtbygda	1023
Miland	291
Minnesund	544
Misje	313
Missingmyr	929
Mo	398
Mo i Rana	18864
Moane	348
Moelv	4459
Moen	748
Mogrenda	367
Moi	1937
Molde	21417
Moldekleiv	584
Moltustranda	438
Momoen	508
Mønshaugen-Bjørgum	822
Monssveen	356
Mork	476
Mosjøen	9794
Moss	42043
Mosterhamn	1379
Mosvik	303
Møvik	244
Movik	367
Muruvik	452
Myklebost	317
Myra	842
Myre	2155
Mysen	6882
Nærbø	7433
Nærland	242
Nærsnes	1593
Nakkerud	355
Namdalseid	346
Namsos	8307
Namsskogan sentrum	217
Narvik	14035
Naustdal	1237
Nedstrand	232
Nesbyen	2129
Nesbygda	1020
Nesgrenda	266
Nesjestranda	540
Neskollen	2825
Neslandsvatn	296
Nesna	1263
Nesoddtangen	13189
Nodeland-Brennåsen	4572
Nordagutu	325
Nordal	329
Nordbøåsane	311
Norderhaug	603
Norderhov	314
Nordfjordeid	3126
Nordheim-Kyte	320
Nordhus	342
Nordkisa	1287
Nordkjosbotn	493
Nordlia	672
Nordstrand	4262
Nordvågen	404
Noresund	349
Norheimsund	4566
Notodden	9041
Nybergsund	379
Nykirke	726
Nypan	878
Odda	4731
Oddevall/Sjåstad	421
Ogna	366
Øksfjord	487
Olden	486
Olderdalen	292
Ølen	1312
Ølensvåg	466
Oltedal	995
Oma	223
Oppåkermoen	527
Oppdal	4390
Oppeid	536
Opphaug	387
Ørje	1849
Orkanger/Fannrem	8890
Ormåsen	1899
Ørnes	1687
Ørsta	7252
Os	663
Oslo	1064235
Osøyro	14232
Østenstad	311
Østhusvik	696
Otnes	253
Otta	2288
Ottersbo	408
Ottersøy	233
Øverbø	256
Øvre Årdal	3116
Øye	268
Øyenkilen	467
Øyslebø	365
Padlene	267
Ploganes	397
Pollestad	781
Porsgrunn	34291
Prestegårdshagen	379
Prestfoss	488
Prestmoen	372
Preststranda	1293
Rabben-Veivågen	249
Rafsbotn	440
Råholt	14830
Rakkestad	4855
Råkvågen	211
Ramsøy	231
Randaberg	9989
Ranemsletta	487
Raudeberg	569
Raufoss	7918
Rausand	258
Re	374
Reine	304
Reinsvoll	1052
Reipå	266
Remøy	348
Rena	2100
Renbygda	569
Rensvik	2484
Revetal/Bergsåsen	2441
Rindal	704
Ringebu	1369
Ringvol	437
Ringvoll	530
Risør	4497
Rjukan	3003
Roa	957
Roald	1032
Rød	1023
Rød	687
Rødberg	495
Rognan	2572
Røldal	324
Romedal sentrum	722
Røn	257
Rophus	375
Røra stasjon	446
Røros	3836
Rørvik	3385
Rosendal	839
Rossnes	370
Rostadneset	280
Rotnes	7452
Roverud	776
Røyken	4005
Røyrvik	227
Rubbestadneset	1313
Rykene	763
Rypefjord	1775
Sæbøvik	508
Sætre	396
Sætre	6202
Sætrebakkane	236
Sagvåg	3417
Saltnes	2318
Sand	1117
Sand	1180
Sand	2443
Sandane	2482
Sandbumoen	249
Sande	2308
Sande	954
Sandefjord	45816
Sandeid	689
Sander	292
Sandnes	64884
Sandnessjøen	5956
Sandøya	262
Sandve	353
Sandvika	216
Sandvoll	269
Sånum	631
Sarpsborg	48831
Såstadbråten	428
Sauda	4109
Segalstad bru	1046
Seimsdalen	409
Seimsfoss	334
Sekkingstad	684
Selbekken	426
Selje	695
Seljord	1415
Selvik	3374
Sem	2706
Senjehopen	268
Sessvollmoen	1283
Setermoen	2523
Sigerfjord	815
Siggerud	1493
Siljan	824
Silsand	1608
Silvalen	855
Sira	598
Sirevåg	711
Sistranda	1162
Sjøholt	1547
Sjøvegan	741
Skage	820
Skålevik	3598
Skånevik	547
Skarde	323
Skarnes	2626
Skarpengland	587
Skatval	959
Skei	495
Skei-Surnadalsøra	2809
Skeie	237
Ski	20836
Skibotn	538
Skien	50142
Skiptvet	1829
Skivika	1075
Skjærhalden	936
Skjeberg	1522
Skjeggestadåsen	214
Skjervøy	2426
Skjold	251
Skjold	930
Skjønhaug	2094
Skodje	2491
Skoge/Møvik	915
Skogmo	280
Skogn	1960
Skogrand	329
Skogsvågen	557
Skomrak	279
Skoppum	1682
Skotbu	462
Skotselv	729
Skotterud	1366
Skre	1651
Skreia	900
Skudeneshavn	3326
Skulestadmoen	1430
Skytterhusfjellet	287
Slåttevik	297
Slemsrud	534
Sletta	292
Slettebrotane	442
Slevik	1166
Slidre	322
Slitu	778
Småland	272
Smestad	2721
Snåsa	660
Sneltvedt	252
Snurråsen	259
Søfteland	2087
Sogndalsfjøra	4265
Søgne	10661
Sokna	616
Soknedal	282
Sola	22522
Solbakken-Sofienberg	218
Solerød	546
Solfjellsjyen	266
Solsletta	749
Sommarøy	304
Sørbygdafeltet	422
Søre Øyane	1077
Sørkjosen	817
Sørland	583
Sørreisa	1245
Sortland	5490
Sørumsand	5596
Sørvågen	399
Søvik	1604
Søvik	986
Sparbu	606
Spillum	1331
Spongdal	530
Sponvika	538
Spydeberg	6419
Stamsund	1103
Stange	3263
Stanghelle	761
Stavanger	134298
Stavern	5902
Stavsjø	262
Steinkjer	12887
Steinsåsen	2045
Steinshamn	424
Steinvåg	429
Stenebyen	1004
Stikkaåsen	209
Stjørdalshalsen	13378
Stokke	4221
Stokmarknes	3451
Storås	292
Storbakken	642
Stordal	583
Storebø	1658
Støren	2306
Storforshei	601
Storsand	471
Storslett	1798
Storsteinnes	1100
Strand	770
Stranda	2898
Straume	326
Straumen	1764
Straumen	838
Straumgjerde	442
Strømsnes	479
Stryn	2646
Sulitjelma	386
Sundbyfoss	568
Sunde/Valen	2307
Sundgot	884
Sundvollen	1171
Sunndalsøra	3907
Svalia	279
Svarstad	611
Sveggen	297
Sveio	1523
Svelgen	1097
Svelvik	4089
Svene	373
Svenevik	333
Svennevik	370
Sviland	750
Svinndal	582
Svolvær	4751
Svøo	606
Svorkmo	302
Svortland	3011
Sykkylven	4314
Sylling	747
Sylte	327
Sysle	246
Talvik	290
Tana Bru	725
Tanem	1295
Tangen	517
Tau	3389
Teigebyen	3280
Telavåg	602
Tennevoll	279
Terråk	520
Tingnes	426
Tingvollvågen	939
Tinn austbygd	393
Tjøme	2882
Toft	219
Tofte	3064
Tolga	577
Tomb	284
Tomra	1086
Tomter	2112
Tomteråsen	727
Tønsberg	54580
Tonstad	871
Torget	765
Torhaug	251
Tornes	547
Torpo	375
Torsteinsvik	1788
Torvik	408
Torvika	236
Torvikbukt	246
Tranby	5296
Tretten	870
Trøa	231
Trofors	838
Trolla	559
Trømborg	242
Tromsdalen	18063
Tromsø	41434
Trondheim	194860
Trones	398
Tvedestrand	2633
Tveit	1610
Tveitsund	540
Tverrelvdalen	460
Tveteneåsen	850
Tynset	2859
Tyristrand	934
Tyssedal	596
Uggdalseidet	288
Ulefoss	2302
Ulsteinvik	5936
Ulvik	514
Undheim	565
Uskedal	756
Utgård	324
Uthaug	352
Vadfoss/Helle	1516
Vadsø	4615
Vågåmo	1496
Våge	839
Våk	944
Vaksdal	955
Våler	1138
Valestrandsfossen	1374
Valle	677
Vang	2312
Vangsåsen	258
Vangsvik	273
Vanse	2016
Vanvikan	724
Vardø	1690
Varhaug	3340
Vassenden	319
Vassøy	622
Vatne	2457
Vatne	920
Vear	3727
Veggli	362
Velde	470
Vennesla	13617
Verdalsøra	8535
Verningen	1003
Vestby	6434
Vestby	8199
Vestbygda	1138
Vestfossen	3246
Vestnes	2471
Vestre Jakobselv	486
Vigeland	1597
Viggja	356
Vigrestad	2094
Vik	330
Vikavågen	643
Vikebø	338
Vikebukt	236
Vikedal	486
Vikersund	3171
Vikeså	1003
Vikevåg	973
Vikøy	378
Vikøyri	1190
Vingnes	1509
Vingrom	757
Vinstra	2648
Volda	6891
Voll	502
Volleberg	550
Vollen	666
Vormsund	428
Vossevangen	6851
Vuku	223
Ydstebøhamn	365
Yli	291
Ytre Enebakk	4528
